name,phone,location,service_type,capacity,num_inspections,distance_to_coquitlam_central_station,coordinates
Little Scholars YMCA Young Parent Program,(604) 939-9548,"1411 Foster St Coquitlam, V3J 2N1",301 Group Child Care (under 36 months),16,3,,""
Nursery Rhymes Daycare,(778) 875-2570,"16, 20 & 24 - 2773 Barnet Hwy Coquitlam, V3B 1C2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",71,6,,""
Early Learning Childcare Centre,(604) 475-4800,"103 - 2764 Barnet Hwy Coquitlam, V3B 1B9","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",36,1,0.26,"49.2762635, -122.7976275"
Kid's Cottage Daycare Society ,(604) 521-8952,"2601 Lougheed Hwy Coquitlam, V3C 4J2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",63,5,0.27,"49.2760547, -122.7973677"
Ladybird Montessori Learning Academy,(778) 285-1737,"2-3 - 1180 Pinetree Way Coquitlam, V3B 7L2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",40,5,0.31,"49.2764311, -122.7970396"
Westwood Montessori,(604) 942-3688,"1438 Pinetree Way Coquitlam, V3E 2T6","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",122,6,0.31,"49.2764311, -122.7970396"
Douglas College Early Childhood Education Centre (Coquitlam),(604) 777-6101,"1250 Pinetree Way Coquitlam, V3B 7X3",302 Group Child Care (30 months to school age),25,7,0.31,"49.2764311, -122.7970396"
The Learning Circle Childcare Centre,(604) 942-2273,"270 - 3020 Lincoln Ave Coquitlam, V3B 6B4","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",80,5,0.71,"49.2786539, -122.7926276"
Friendship Corner Daycare,(604) 945-8504,"2950 Dewdney Trunk Rd Coquitlam, V3C 2J4",302 Group Child Care (30 months to school age),20,6,0.73,"49.268505, -122.7987919"
Cribs to Crayons Daycare Ltd,(604) 537-3444,"2860 Dewdney Trunk Rd Coquitlam, V3C 2H9","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",26,2,0.73,"49.268505, -122.7987919"
Write Choice Early Learning Centre,(604) 475-3181,"2027 - 1163 Pinetree Way Coquitlam, V3B 8A9","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",24,5,0.77,"49.2798927, -122.793229"
Funshine Daycare Center,(604) 464-6442,"2864 McCoomb Dr Coquitlam, V3B 6B3","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",50,5,0.79,"49.2813445, -122.8054156"
Academics preKindergarten Westwood Inc,(604) 474-2662,"501 - 1123 Westwood St Coquitlam, V3B 4S4","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",124,2,0.87,"49.2790984, -122.7904613"
Glen Childcare,(604) 618-8303,"2977 Glen Dr Coquitlam, V3B 2P7",302 Group Child Care (30 months to school age),38,5,1.02,"49.2826754, -122.7931278"
KIDz R KIDz,(778) 552-8820,"101 - 3007 Glen Dr Coquitlam, V3B 2P7","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",23,3,1.03,"49.2830585, -122.7938463"
BrightPath Coquitlam,(604) 941-6866,"2813 Glen Dr Coquitlam, V3B 2P6","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",59,5,1.03,"49.2830015, -122.8076695"
B&D Montessori Learning Academy Ltd. (Coq),(604) 725-8712,"1187 Eagleridge Dr Coquitlam, V3E 1J8","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",50,6,1.09,"49.280025, -122.813482"
Westwood Christian Preschool,(604) 464-0558,"1294 Johnson St Coquitlam, V3B 4T5","303 Preschool, 302 Group Child Care (30 months to school age)",40,6,1.27,"49.286319, -122.8016365"
Brightstart Children's Academy Ltd,(778) 285-8528,"1450 Johnson St Coquitlam, V3E 2T1","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",81,5,1.27,"49.286319, -122.8016365"
Angels and Saints Childcare Center,(604) 937-0225,"1405 Como Lake Ave Coquitlam, V3J 3P2",303 Preschool (30 months to school age),18,3,1.33,"49.2630901, -122.7980745"
Joyful Christian Child Care,(778) 242-5142,"724 Como Lake Ave Coquitlam, V3J 3M6",302 Group Child Care (30 months to school age),20,1,1.33,"49.2630901, -122.7980745"
"Panda Bear Children's Place ""Panda Kids""",(604) 939-1302,"1215 Falcon Dr Coquitlam, V3E 1X9",302 Group Child Care (30 months to school age),19,6,1.34,"49.2781727, -122.8183451"
Panda Bear Children's Place On Falcon,(604) 941-7656,"1198 Falcon Dr Coquitlam, V3E 2M4","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",45,4,1.34,"49.2781727, -122.8183451"
Shining Star Daycare,(604) 944-0420,"2665 Runnel Dr Coquitlam, V3E 1S3","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",143,7,1.43,"49.2788541, -122.8193537"
Children of Integrity Montessori Childcare Academy,(604) 461-1223,"2541 Quay Pl Coquitlam, V3H 3S7","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",85,5,1.49,"49.2740368, -122.8210982"
