name,phone,location,service_type,capacity,num_inspections,distance_to_westminster_pier_park,coordinates
Fraser Montessori Daycare,(604) 522-1586,"1408 5th Ave New Westminster, V3M 1Z5","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",70,5,,""
"Somewhere to ""Grow"" Montessori Childcare Centre",(604) 517-0241,"1320 7th Ave New Westminster, V3M 2K1",302 Group Child Care (30 months to school age),20,4,,""
A & N Academic Montessori School Ltd,(604) 375-0957,"403 Columbia St E New Westminster, V3L 3X2","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age)",16,5,,""
Precious Early Years Childcare Centre,(604) 525-8186,"826 20th St New Westminster, V3M 4W8",302 Group Child Care (30 months to school age),16,5,,""
Precious Early Years Childcare Inc,(604) 525-8186,"818 20th St New Westminster, V3M 4W8",301 Group Child Care (under 36 months),20,5,,""
Queens Park Preschool,(604) 526-1153,"Queens Park (Centennial Lodge) - 1st St and 3rd Ave New Westminster, V3L 1L7",303 Preschool,20,6,,""
Cambridge Montessori Children's Centre,(778) 668-7188,"57 7th Ave New Westminster, V3L 1V9",302 Group Child Care (30 months to school age),41,6,,""
Laugh and Learn Children Centre,(604) 526-1414,"101 - 335 Carnarvon St New Westminster, V3L 1B9",302 Group Child Care (30 months to school age),24,4,0.34,"49.2057809, -122.9064334"
Core Education & Fine Arts (New Westminster),(604) 777-0053,"725 Carnarvon St New Westminster, V3M 1E6","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",68,6,0.38,"49.20285675, -122.911599956247"
ABC Academy - Children's Learning Center Ltd,(604) 805-2402,"160 - 401 Eighth St New Westminster, V3M 1S7",302 Group Child Care (30 months to school age),23,1,0.42,"49.2015619, -122.911904"
ABC Academy - Children's Learning Center (After School Club & Preschool),(604) 805-2402,"201 - 615 Eighth St New Westminster, V3M 3S2","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",24,0,0.42,"49.2015619, -122.911904"
Mongio Early Learning Center,(604) 553-8988,"600 Royal Ave New Westminster, V3M 1J3","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",85,0,0.43,"49.205289, -122.910807978004"
Douglas College ECE Center (New Westminster),(604) 527-5632,"2814 - 700 Royal Ave New Westminster, V3L 5B2",302 Group Day Care >30 mos,25,4,0.57,"49.2037428, -122.9141312"
Qayqayt Children's Centre,(604) 307-4503,"301 - 85 Merivale St New Westminster, V3L 0G2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",36,5,0.67,"49.2086081, -122.904659829581"
Ready Set Grow Children's Centre,(604) 526-9788,"800 Queens Ave New Westminster, V3M 0J2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",36,3,0.76,"49.2044049, -122.91660965229"
Ohana Childcare,(604) 761-8244,"220 6th St New Westminster, V3L 3A2",308 Occasional Child Care,16,1,0.79,"49.2078731, -122.9139704"
Queens Avenue Day Care,(604) 525-3255,"529 Queens Ave New Westminster, V3L 1K2","302 Group Day Care >30 mos, 310 Multi-Age Child Care",33,7,0.9,"49.2108344, -122.905865"
Frog Hollow Montessori House,(604) 521-1355,"529 Queens Ave New Westminster, V3L 1K2","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",46,7,0.9,"49.2108344, -122.905865"
Graham Montessori School,(778) 397-0191,"2 - 1001 Royal Ave New Westminster, V3M 1K3","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",54,7,1.04,"49.2005226, -122.9203441"
Learn N' Play Early Learning Centre Inc.,(604) 553-0461,"335 Columbia St East New Westminster, V3L 3W8","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",47,4,1.08,"49.2107276, -122.8980788"
Kolumbia Inn Daycare,(604) 524-0522,"236 Ross Dr New Westminster, V3L 0B2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",62,5,1.41,"49.2148505, -122.9007193"
St Barnabas Daycare Society,(604) 526-6956,"1005 Napanee St New Westminster, V3M 5Y2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age), 310 Multi-Age Child Care",55,7,1.44,"49.2078239, -122.9246404"
Willowbrae Childcare Academy,(604) 528-8018,"211 - 800 McBride Blvd New Westminster, V3L 1Z5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",82,4,1.48,"49.2158542, -122.9036695"
Polka Dot Fine Art & Education,(604) 343-6644,"203 - 800 McBride Blvd New Westminster, V3L 2B8","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",24,2,1.48,"49.2158542, -122.9036695"
Polka Dot Fine Art & Education,(604) 724-4328,"205 - 800 McBride Blvd New Westminster, V3L 2B8",302 Group Child Care (30 months to school age),20,0,1.48,"49.2158542, -122.9036695"
Head Start Pre-Kinder,(604) 553-3832,"617 4th Ave New Westminster, V3M 1S5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",28,3,1.59,"49.2039406, -122.9282817"
Blessed Generations Academy in Royal City,(604) 618-4767,"501 4th Ave New Westminster, V3L 1S2",301 Group Child Care (under 36 months),22,1,1.59,"49.2039406, -122.9282817"
Graham Montessori School,(604) 544-7751,"76 Jamieson Ct New Westminster, V3L 5R6",302 Group Child Care (30 months to school age),25,5,1.66,"49.2159361, -122.8958115"
Montessori Minds Childcare Centre Ltd # 2,(778) 837-9496,"526 - 1310 Cariboo St New Westminster, V3M 1X2",302 Group Child Care (30 months to school age),15,5,1.82,"49.2041616, -122.931344"
Academics preKindergarten Royal City,(778) 398-4769,"300 - 628 6th Ave New Westminster, V3M 6Z1","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",64,2,1.88,"49.2195661, -122.908408"
Klub Kelvin Out-Of-School Care,(604) 517-5958,"1010 Hamilton St New Westminster, V3M 2M9",305 Out of School Care,20,7,1.93,"49.21088435, -122.929874630123"
ABC Academy - Children's Learning Center,(778) 987-2974,"37 Eighth Ave New Westminster, V3L 1X6",302 Group Child Care (30 months to school age),25,4,2.15,"49.2213677, -122.9140061"
Growing Hands Childcare Centre,(778) 899-1797,"1188 Eighth Ave New Westminster, V3M 2R6","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",32,1,2.15,"49.2213677, -122.9140061"
Merseyside Montessori School,(604) 517-1117,"401 Ewen Ave New Westminster, V3M 5B5",302 Group Child Care (30 months to school age),25,4,2.21,"49.1924785, -122.932429935711"
Royal Child Care,(778) 869-8182,"425 6th St New Westminster, V3L 3B1","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",54,1,2.41,"49.219175, -122.927879"
CEFA Early Learning,(604) 777-0053,"243 - 610 6th St New Westminster, V3L 3C2","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",76,1,2.41,"49.219175, -122.927879"
Kids & Company New Westminster,(604) 553-0593,"281 Nelson's Ct New Westminster, V3L 0E3","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",64,6,2.63,"49.2246503, -122.8928366"
Seeds and Roots Montessori,(604) 516-7777,"1630 Edinburgh St New Westminster, V3M 2W8","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",20,5,2.64,"49.2073113816327, -122.942010030612"
Happy Learning Child Care Centre,(604) 553-4611,"2201 8th Ave New Westminster, V3M 2T9","302 Group Child Care (30 months to school age), 305 Group Child Care (School Age), 310 Multi-Age Child Care",65,5,3.08,"49.2025863, -122.9488131"
Glenbrooke Daycare,(604) 522-0666,"320 8th Ave New Westminster, V3L 1Y2","301 Group Day Care <36 mos, 302 Group Day Care >30 mos, 305 Out of School Care",30,7,3.08,"49.2025863, -122.9488131"
Little JJ's Group Childcare Ltd,(604) 525-1678,"343 8th Ave E New Westminster, V3L 4K7",301 Group Child Care (under 36 months),12,5,3.08,"49.2025863, -122.9488131"
