name,phone,location,service_type,capacity,num_inspections,distance_to_central_park,coordinates
Glenayre Montessori Centre,(604) 937-0084,"495 Glencoe Dr Port Moody, V3H 1G6",302 Group Child Care (30 months to school age),40,6,10.7,"49.27346125, -122.888317709336"
Seaview Montessori,(604) 765-4022,"1215 Cecile Dr Port Moody, V3H 2N1","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",45,6,11.78,"49.2797405, -122.8765586"
Childgarden Preschool & Discoveries,(604) 637-9705,"B - 2625 Clarke St Port Moody, V3H 1Z4","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",20,5,13.21,"49.27756, -122.8527246"
BrightPath St Johns Street,(604) 492-1415,"2750 St Johns St Port Moody, V3H 0H4","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",60,2,13.34,"49.2766331, -122.8501662"
Busy Crocodile French Immersion Children Centre Inc.,(604) 349-9041,"2511 St Johns St Port Moody, V3H 2B3","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",24,5,13.34,"49.2766331, -122.8501662"
Happy Kids World Childcare Inc.,(604) 900-2412,"A - 2611 St Johns St Port Moody, V3H 2B5","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",41,5,13.34,"49.2766331, -122.8501662"
Green Apple Daycare,(604) 218-3417,"1790 Ioco Road Port Moody, V3H 5C5",302 Group Child Care (30 months to school age),25,6,13.4,"49.3024728, -122.8731259"
Kinder Kampus - Pleasantside Elementary School,(604) 461-2236,"195 Barber St Port Moody, V3H 3A8","303 Preschool, 305 Out of School Care",50,7,13.96,"49.29494, -122.8555728"
Kinder Kampus - Old Orchard Hall,(604) 461-2233,"646 Bentley Rd Port Moody, V3H 3A3",302 Group Day Care >30 mos,25,6,14.31,"49.2903278, -122.8458152"
Kids & Company Port Moody,(604) 492-1075,"220 Brew St Port Moody, V3H 0E6","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",117,4,14.92,"49.2790305, -122.8280164"
Newport Child Care Center,(604) 492-3337,"235 Newport Dr Port Moody, V3H 5B9","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age)",28,6,15.06,"49.2824064, -122.8282009"
Heritage Mountain Daycare,(604) 619-5308,"145 Ravine Dr Port Moody, V3H 4W3","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",55,5,15.37,"49.2925386, -122.8309812"
Coronation Kids Care,(604) 461-6554,"999 Noons Creek Dr Port Moody, V3H 4N3","303 Preschool (30 months to school age), 305 Group Child Care (School Age)",40,5,15.38,"49.2862884, -122.8260574"
Junior Citizens Care Center,(604) 469-5437,"999 Noons Creek Dr Port Moody, V3H 4N3","302 Group Child Care (30 months to school age), 303 Preschool (30 months to school age), 305 Group Child Care (School Age)",40,5,15.38,"49.2862884, -122.8260574"
Kinder Kampus - Heritage Mountain,(604) 461-2268,"103 - 300 Panorama Pl Port Moody, V3H 5G8","301 Group Child Care (under 36 months), 302 Group Child Care (30 months to school age), 305 Group Child Care (School Age)",54,5,15.97,"49.3021928, -122.8298726"
Kinder Kampus Heritage Mountain Community Centre,(604) 461-2266,"200 Panorama Pl Port Moody, V3H 5H5",302 Group Child Care (30 months to school age),25,6,15.97,"49.3021928, -122.8298726"
